edge_name,fnode,tnode,length
353777,12187,2749,116.5072341
353778,9524,2540,177.4117091
353779,2540,2538,217.835453
353780,2541,9563,190.3421484
353781,31101,9520,59.25967136
353782,2543,9519,139.4292167
353783,14891,2544,210.9920457
353784,7433,2544,351.7583608
353785,14889,2545,220.7718241
353786,2545,2546,203.9828765
353787,4041,2458,136.3670101
353788,2457,14645,164.6057732
353789,14645,2456,107.44084
353790,2456,14593,156.5782402
353791,10144,10145,137.8071631
353792,10145,2400,117.6262809
353793,10146,2401,120.9865241
353794,1917,140914,108.944174
353796,3605,1920,158.5778626
353797,13877,1921,39.18797278
353798,13983,1922,137.243681
353799,8914,1923,126.2318916
353800,13929,140769,129.6847381
353801,1925,1926,246.0526741
353802,1927,13785,136.0769228
353803,1928,13783,104.2525497
353804,9403,2091,150.7339563
353805,9114,9115,150.5775849
353806,9115,8921,149.788001
353807,8921,8721,146.269238
353808,9361,2092,153.9166001
353809,3660,2093,163.661254
353810,2825,2826,118.8352209
353811,2608,12145,178.9657365
353812,2039,1936,148.9830979
353813,1936,1937,152.6681903
353814,1938,14190,115.6998887
353815,14190,1939,115.8825251
353816,14182,4641,154.053768
353817,1940,1941,152.4227551
353818,14187,14189,153.4210618
353819,1942,14191,115.8050595
353820,13942,1944,155.6387963
353821,1945,3654,152.9579999
353822,8916,13990,152.8761229
353823,2202,9451,132.5359379
353824,9451,2203,132.0011681
353825,2203,2135,130.4513404
353826,1342,2204,125.8313483
353827,9503,2205,132.1239612
353828,2207,9359,132.5090962
353829,2208,9362,125.1012053
353830,9362,4687,131.2753173
353831,4482,2210,131.0224101
353832,2210,2211,129.5119446
353833,2973,8519,139.6780107
353834,3010,9226,160.293097
353835,2895,3925,171.3156881
353836,2896,2780,18.65262343
353837,3883,2785,150.1405954
353838,15022,14983,151.1432214
353839,14983,3621,144.1224238
353840,2415,14551,153.2732199
353841,15698,2460,142.9968787
353842,2462,3936,109.7940425
353843,3936,2463,109.3000859
353844,2463,14843,106.3135641
353845,9241,9242,155.0802868
353846,3146,3147,153.2797018
353847,8627,3150,176.9926257
353848,3151,9383,129.9275721
353849,9383,3244,145.3522939
353850,9289,9290,127.5251692
353851,9290,8382,119.3974167
353852,3245,9285,133.4513543
353853,3192,9286,134.4531379
353854,3248,16,92.87863253
353855,3249,9711,125.8149676
353856,12373,2695,105.8970172
353857,2695,12375,105.6194996
353858,12379,12467,148.589284
353859,2791,12188,117.5746428
353860,13104,2793,151.313915
353861,13105,2794,113.7135826
353862,2797,3132,138.9860387
353863,3132,13108,140.6251942
353864,2093,9401,169.8103482
353865,2095,9402,131.035224
353866,2096,2097,129.9285729
353867,2181,2182,144.8524768
353868,2183,9026,146.8204657
353869,2184,8525,159.3371309
353870,2185,3334,179.1459114
353871,9705,2187,129.9730123
353872,2187,9071,129.9093258
353873,2186,9073,137.134045
353874,9073,9070,137.8575312
353875,4693,2189,146.5483297
353876,2153,2152,150.7743388
353877,10148,3029,115.0640673
353878,2403,10523,123.7777026
353879,2404,2443,148.6011035
353880,9766,9767,129.6869314
353881,5264,5265,130.4786168
353882,10519,10521,130.4943848
353883,10522,3984,127.4987755
353884,2445,9756,128.8161181
353885,1430,2446,135.7452274
353886,8519,2972,134.6301679
353887,2972,8517,140.6373915
353888,9343,2969,50.08658931
353889,2976,2977,114.4935009
353890,2977,3771,397.3635498
353891,8510,2978,141.3784441
353892,3981,8509,67.49187304
353893,10327,3018,155.5637753
353894,12145,2615,181.7213904
353895,2828,2829,184.8764195
353896,2830,2671,165.377378
353897,2831,2712,156.1976618
353898,12754,2872,103.3355925
353899,2872,12753,99.87296639
353900,3829,2768,116.7593287
353901,2874,3828,136.5407452
353902,2875,2876,164.5271783
353903,12828,2877,116.4131458
353904,8532,2660,158.4428569
353905,1949,13947,155.2960986
353906,13947,13948,149.720203
353907,13987,1976,324.1726159
353908,1976,13988,259.7717591
353909,3623,14780,125.0590227
353910,3624,3625,126.9641488
353911,14778,3626,96.41547777
353912,3626,14828,106.4190346
353913,14584,3667,126.8306694
353914,14782,3668,114.4144212
353915,14779,3670,101.3426257
353916,10510,3081,125.2399421
353917,10506,2324,125.0215473
353918,2324,9890,129.0740523
353919,9888,2366,153.6958525
353920,2367,2368,151.227308
353921,2368,4083,131.5397039
353922,10507,10508,131.7702953
353923,10509,10511,130.3145213
353924,2370,2371,59.83723357
353925,9937,2372,200.7357876
353926,14631,3058,162.318676
353927,14633,3059,158.8823346
353928,3062,9127,125.9903566
353929,3061,3060,105.0467722
353930,9123,9122,47.65992876
353931,3064,640,77.13373465
353932,13108,13107,134.9217123
353933,13107,2796,145.9238381
353934,14607,14608,139.6103666
353935,14608,14609,137.1218385
353936,14605,14606,63.73763763
353937,14701,14700,114.5457498
353938,2698,14700,26.10138597
353939,2699,2700,41.90836984
353940,2700,3189,151.7847727
353941,13538,7542,142.3658014
353942,2466,2465,92.98864757
353943,13925,2520,135.6760316
353945,1364,3937,69.34317689
353947,2518,13738,109.1782118
353948,2468,13925,149.8641416
353949,3937,13829,298.6578803
353950,13828,13830,177.0234324
353952,2447,2448,134.2592314
353953,1932,13593,117.6722194
353954,1931,13597,126.5412337
353955,1933,13683,101.1572581
353956,13683,1934,101.5139437
353957,547624,13786,135.3885566
353958,8915,1935,220.2889838
353959,4636,31012,213.8571254
353960,514966,31012,27.7933411
353961,1848,13546,230.4911777
353962,13543,13546,168.2631743
353963,9258,9259,125.7262633
353964,2100,9353,126.908266
353965,4688,9501,168.5148898
353966,2216,3714,132.0606599
353967,3714,9601,131.3918072
353968,9601,2217,131.433061
353969,4689,9604,135.6942494
353970,2218,9607,131.2373927
353971,3019,10329,151.4805568
353972,3020,140805,36.85953533
353973,8509,31308,308.5392255
353974,3021,10150,142.7392603
353975,10151,3022,145.0354844
353976,3067,3181,128.3772253
353977,3066,4091,184.1229658
353978,3069,8378,152.5316811
353979,2897,15340,180.3177256
353980,2898,19873,180.5268417
353981,19536,8336,201.457038
353982,2938,15277,155.2155867
353983,2939,15395,188.6200382
353984,15282,15281,88.59368092
353985,15281,2783,128.4141756
353986,2941,8291,190.3616121
353987,15114,2942,162.7971602
353988,3881,15113,171.7924124
353989,2943,15123,168.8498774
353990,4142,3672,110.5995388
353991,3672,3673,108.8481602
353992,14581,3674,107.6466655
353993,14580,14579,114.256539
353994,3675,8487,131.8415225
353995,8487,14582,141.2436366
353996,14582,3676,153.7775113
353997,11380,140715,111.829424
353998,2422,8697,76.49479186
353999,2425,2426,111.2777986
354000,8014,13483,135.3525254
354001,2277,9270,161.4570249
354002,2331,14923,127.4002543
354003,2336,8970,220.4705453
354004,2485,2484,128.9175781
354005,2644,2651,187.8932336
354006,13611,13612,138.3292378
354007,3731,3732,126.0681194
354008,3028,2288,331.4042267
354009,10199,2393,130.8517936
354010,10520,2444,142.6417643
354011,2453,1275,151.6526099
354012,2454,10432,124.1728303
354013,2499,2500,119.2978439
354014,2611,13427,133.7692108
354015,140674,2773,24.22301281
354016,8330,2719,169.0149078
354017,2884,13470,115.6031572
354018,3853,9304,121.9102798
354019,3854,9301,75.84636015
354020,3661,9358,163.9916817
354021,2152,9744,150.9681089
354022,2154,9957,112.9359589
354023,9957,2155,150.039828
354024,2155,2156,132.8190828
354025,2156,9958,129.9694579
354026,9954,2159,129.9473865
354027,10606,2158,132.7041287
354028,2160,9078,106.9594558
354029,3720,2165,132.0316239
354030,2165,9857,130.1576875
354031,2164,2163,132.0918424
354032,2449,2450,163.5006206
354033,10324,3818,166.8116861
354034,3818,10325,166.3367829
354035,10479,2452,150.5355566
354036,10478,2455,136.3656327
354037,2455,10437,130.6888865
354038,10436,2454,131.8364864
